mach,rollRate,rollForceCoeffCanard,rollForceCoeffFin,rollDampCoeffCanard,rollDampCoeffFin
0.0500,0.1100,0.1356,0.7302,0.0069,0.0617
0.0500,0.1200,0.1356,0.7302,0.0076,0.0673
0.0500,0.1300,0.1356,0.7302,0.0082,0.0729
0.0500,0.1400,0.1356,0.7302,0.0088,0.0786
0.0500,0.1500,0.1356,0.7302,0.0095,0.0842
0.0500,0.1600,0.1356,0.7302,0.0101,0.0898
0.0500,0.1700,0.1356,0.7302,0.0107,0.0954
0.0500,0.1800,0.1356,0.7302,0.0114,0.1010
0.0500,0.1900,0.1356,0.7302,0.0120,0.1066
0.0500,0.2000,0.1356,0.7302,0.0126,0.1122
0.0500,0.2100,0.1356,0.7302,0.0133,0.1178
0.0500,0.2200,0.1356,0.7302,0.0139,0.1234
0.0500,0.2300,0.1356,0.7302,0.0145,0.1291
0.0500,0.2400,0.1356,0.7302,0.0151,0.1347
0.0500,0.2500,0.1356,0.7302,0.0158,0.1403
0.0500,0.2600,0.1356,0.7302,0.0164,0.1459
0.0500,0.2700,0.1356,0.7302,0.0170,0.1515
0.0500,0.2800,0.1356,0.7302,0.0177,0.1571
0.0500,0.2900,0.1356,0.7302,0.0183,0.1627
0.0500,0.3000,0.1356,0.7302,0.0189,0.1683
0.0500,0.3100,0.1356,0.7302,0.0196,0.1739
0.0500,0.3200,0.1356,0.7302,0.0202,0.1796
0.0500,0.3300,0.1356,0.7302,0.0208,0.1852
0.0500,0.3400,0.1356,0.7302,0.0215,0.1908
0.0500,0.3500,0.1356,0.7302,0.0221,0.1964
0.0500,0.3600,0.1356,0.7302,0.0227,0.2020
0.0500,0.3700,0.1356,0.7302,0.0233,0.2076
0.0500,0.3800,0.1356,0.7302,0.0240,0.2132
0.0500,0.3900,0.1356,0.7302,0.0246,0.2188
0.0500,0.4000,0.1356,0.7302,0.0252,0.2244
0.0500,0.4100,0.1356,0.7302,0.0259,0.2301
0.0500,0.4200,0.1356,0.7302,0.0265,0.2357
0.0500,0.4300,0.1356,0.7302,0.0271,0.2413
0.0500,0.4400,0.1356,0.7302,0.0278,0.2469
0.0500,0.4500,0.1356,0.7302,0.0284,0.2525
0.0500,0.4600,0.1356,0.7302,0.0290,0.2581
0.0500,0.4700,0.1356,0.7302,0.0297,0.2637
0.0500,0.4800,0.1356,0.7302,0.0303,0.2693
0.0500,0.4900,0.1356,0.7302,0.0309,0.2749
0.0500,0.5000,0.1356,0.7302,0.0316,0.2806
0.0500,0.5100,0.1356,0.7302,0.0322,0.2862
0.0500,0.5200,0.1356,0.7302,0.0328,0.2918
0.0500,0.5300,0.1356,0.7302,0.0334,0.2974
0.0500,0.5400,0.1356,0.7302,0.0341,0.3030
0.0500,0.5500,0.1356,0.7302,0.0347,0.3086
0.0500,0.5600,0.1356,0.7302,0.0353,0.3142
0.0500,0.5700,0.1356,0.7302,0.0360,0.3198
0.0500,0.5800,0.1356,0.7302,0.0366,0.3255
0.0500,0.5900,0.1356,0.7302,0.0372,0.3311
0.0500,0.6000,0.1356,0.7302,0.0379,0.3367
0.0500,0.6100,0.1356,0.7302,0.0385,0.3423
0.0500,0.6200,0.1356,0.7302,0.0391,0.3479
0.0500,0.6300,0.1356,0.7302,0.0398,0.3535
0.0500,0.6400,0.1356,0.7302,0.0404,0.3591
0.0500,0.6500,0.1356,0.7302,0.0410,0.3647
0.0500,0.6600,0.1356,0.7302,0.0416,0.3703
0.0500,0.6700,0.1356,0.7302,0.0423,0.3760
0.0500,0.6800,0.1356,0.7302,0.0429,0.3816
0.0500,0.6900,0.1356,0.7302,0.0435,0.3872
0.0500,0.7000,0.1356,0.7302,0.0442,0.3928
0.0500,0.7100,0.1356,0.7302,0.0448,0.3984
0.0500,0.7200,0.1356,0.7302,0.0454,0.4040
0.0500,0.7300,0.1356,0.7302,0.0461,0.4096
0.0500,0.7400,0.1356,0.7302,0.0467,0.4152
0.0500,0.7500,0.1356,0.7302,0.0473,0.4208
0.0500,0.7600,0.1356,0.7302,0.0480,0.4265
0.0500,0.7700,0.1356,0.7302,0.0486,0.4321
0.0500,0.7800,0.1356,0.7302,0.0492,0.4377
0.0500,0.7900,0.1356,0.7302,0.0498,0.4433
0.0500,0.8000,0.1356,0.7302,0.0505,0.4489
0.0500,0.8100,0.1356,0.7302,0.0511,0.4545
0.0500,0.8200,0.1356,0.7302,0.0517,0.4601
0.0500,0.8300,0.1356,0.7302,0.0524,0.4657
0.0500,0.8400,0.1356,0.7302,0.0530,0.4713
0.0500,0.8500,0.1356,0.7302,0.0536,0.4770
0.0500,0.8600,0.1356,0.7302,0.0543,0.4826
0.0500,0.8700,0.1356,0.7302,0.0549,0.4882
0.0500,0.8800,0.1356,0.7302,0.0555,0.4938
0.0500,0.8900,0.1356,0.7302,0.0562,0.4994
0.0500,0.9000,0.1356,0.7302,0.0568,0.5050
0.0500,0.9100,0.1356,0.7302,0.0574,0.5106
0.0500,0.9200,0.1356,0.7302,0.0581,0.5162
0.0500,0.9300,0.1356,0.7302,0.0587,0.5218
0.0500,0.9400,0.1356,0.7302,0.0593,0.5275
0.0500,0.9500,0.1356,0.7302,0.0599,0.5331
0.0500,0.9600,0.1356,0.7302,0.0606,0.5387
0.0500,0.9700,0.1356,0.7302,0.0612,0.5443
0.0500,0.9800,0.1356,0.7302,0.0618,0.5499
0.0500,0.9900,0.1356,0.7302,0.0625,0.5555
0.0500,1.0000,0.1356,0.7302,0.0631,0.5611
0.0500,1.0100,0.1356,0.7302,0.0637,0.5667
0.0500,1.0200,0.1356,0.7302,0.0644,0.5723
0.0500,1.0300,0.1356,0.7302,0.0650,0.5780
0.0500,1.0400,0.1356,0.7302,0.0656,0.5836
0.0500,1.0500,0.1356,0.7302,0.0663,0.5892
0.0500,1.0600,0.1356,0.7302,0.0669,0.5948
0.0500,1.0700,0.1356,0.7302,0.0675,0.6004
0.0500,1.0800,0.1356,0.7302,0.0681,0.6060
0.0500,1.0900,0.1356,0.7302,0.0688,0.6116
0.0500,1.1000,0.1356,0.7302,0.0694,0.6172
0.0500,1.1100,0.1356,0.7302,0.0700,0.6228
0.0500,1.1200,0.1356,0.7302,0.0707,0.6285
0.0500,1.1300,0.1356,0.7302,0.0713,0.6341
0.0500,1.1400,0.1356,0.7302,0.0719,0.6397
0.0500,1.1500,0.1356,0.7302,0.0726,0.6453
0.0500,1.1600,0.1356,0.7302,0.0732,0.6509
0.0500,1.1700,0.1356,0.7302,0.0738,0.6565
0.0500,1.1800,0.1356,0.7302,0.0745,0.6621
0.0500,1.1900,0.1356,0.7302,0.0751,0.6677
0.0500,1.2000,0.1356,0.7302,0.0757,0.6733
0.0500,1.2100,0.1356,0.7302,0.0764,0.6790
0.0500,1.2200,0.1356,0.7302,0.0770,0.6846
0.0500,1.2300,0.1356,0.7302,0.0776,0.6902
0.0500,1.2400,0.1356,0.7302,0.0782,0.6958
0.0500,1.2500,0.1356,0.7302,0.0789,0.7014
0.0500,1.2600,0.1356,0.7302,0.0795,0.7070
0.0500,1.2700,0.1356,0.7302,0.0801,0.7126
0.0500,1.2800,0.1356,0.7302,0.0808,0.7182
0.0500,1.2900,0.1356,0.7302,0.0814,0.7238
0.0500,1.3000,0.1356,0.7302,0.0820,0.7295
0.0500,1.3100,0.1356,0.7302,0.0827,0.7351
0.0500,1.3200,0.1356,0.7302,0.0833,0.7407
0.0500,1.3300,0.1356,0.7302,0.0839,0.7463
0.0500,1.3400,0.1356,0.7302,0.0846,0.7519
0.0500,1.3500,0.1356,0.7302,0.0852,0.7575
0.0500,1.3600,0.1356,0.7302,0.0858,0.7631
0.0500,1.3700,0.1356,0.7302,0.0864,0.7687
0.0500,1.3800,0.1356,0.7302,0.0871,0.7743
0.0500,1.3900,0.1356,0.7302,0.0877,0.7800
0.0500,1.4000,0.1356,0.7302,0.0883,0.7856
0.0500,1.4100,0.1356,0.7302,0.0890,0.7912
0.0500,1.4200,0.1356,0.7302,0.0896,0.7968
0.0500,1.4300,0.1356,0.7302,0.0902,0.8024
0.0500,1.4400,0.1356,0.7302,0.0909,0.8080
0.0500,1.4500,0.1356,0.7302,0.0915,0.8136
0.0500,1.4600,0.1356,0.7302,0.0921,0.8192
0.0500,1.4700,0.1356,0.7302,0.0928,0.8248
0.0500,1.4800,0.1356,0.7302,0.0934,0.8305
0.0500,1.4900,0.1356,0.7302,0.0940,0.8361
0.0500,1.5000,0.1356,0.7302,0.0947,0.8417
0.0500,1.5100,0.1356,0.7302,0.0953,0.8473
0.0500,1.5200,0.1356,0.7302,0.0959,0.8529
0.0500,1.5300,0.1356,0.7302,0.0965,0.8585
0.0500,1.5400,0.1356,0.7302,0.0972,0.8641
0.0500,1.5500,0.1356,0.7302,0.0978,0.8697
0.0500,1.5600,0.1356,0.7302,0.0984,0.8754
0.0500,1.5700,0.1356,0.7302,0.0991,0.8810
0.0500,1.5800,0.1356,0.7302,0.0997,0.8866
0.0500,1.5900,0.1356,0.7302,0.1003,0.8922
0.0500,1.6000,0.1356,0.7302,0.1010,0.8978
0.0500,1.6100,0.1356,0.7302,0.1016,0.9034
0.0500,1.6200,0.1356,0.7302,0.1022,0.9090
0.0500,1.6300,0.1356,0.7302,0.1029,0.9146
0.0500,1.6400,0.1356,0.7302,0.1035,0.9202
0.0500,1.6500,0.1356,0.7302,0.1041,0.9259
0.0500,1.6600,0.1356,0.7302,0.1047,0.9315
0.0500,1.6700,0.1356,0.7302,0.1054,0.9371
0.0500,1.6800,0.1356,0.7302,0.1060,0.9427
0.0500,1.6900,0.1356,0.7302,0.1066,0.9483
0.0500,1.7000,0.1356,0.7302,0.1073,0.9539
0.0500,1.7100,0.1356,0.7302,0.1079,0.9595
0.0500,1.7200,0.1356,0.7302,0.1085,0.9651
0.0500,1.7300,0.1356,0.7302,0.1092,0.9707
0.0500,1.7400,0.1356,0.7302,0.1098,0.9764
0.0500,1.7500,0.1356,0.7302,0.1104,0.9820
0.0500,1.7600,0.1356,0.7302,0.1111,0.9876
0.0500,1.7700,0.1356,0.7302,0.1117,0.9932
0.0500,1.7800,0.1356,0.7302,0.1123,0.9988
0.0500,1.7900,0.1356,0.7302,0.1129,1.0044
0.0500,1.8000,0.1356,0.7302,0.1136,1.0100
0.0500,1.8100,0.1356,0.7302,0.1142,1.0156
0.0500,1.8200,0.1356,0.7302,0.1148,1.0212
0.0500,1.8300,0.1356,0.7302,0.1155,1.0269
0.0500,1.8400,0.1356,0.7302,0.1161,1.0325
0.0500,1.8500,0.1356,0.7302,0.1167,1.0381
0.0500,1.8600,0.1356,0.7302,0.1174,1.0437
0.0500,1.8700,0.1356,0.7302,0.1180,1.0493
0.0500,1.8800,0.1356,0.7302,0.1186,1.0549
0.0500,1.8900,0.1356,0.7302,0.1193,1.0605
0.0500,1.9000,0.1356,0.7302,0.1199,1.0661
0.0500,1.9100,0.1356,0.7302,0.1205,1.0717
0.0500,1.9200,0.1356,0.7302,0.1212,1.0774
0.0500,1.9300,0.1356,0.7302,0.1218,1.0830
0.0500,1.9400,0.1356,0.7302,0.1224,1.0886
0.0500,1.9500,0.1356,0.7302,0.1230,1.0942
0.0500,1.9600,0.1356,0.7302,0.1237,1.0998
0.0500,1.9700,0.1356,0.7302,0.1243,1.1054
0.0500,1.9800,0.1356,0.7302,0.1249,1.1110
0.0500,1.9900,0.1356,0.7302,0.1256,1.1166
0.0500,2.0000,0.1356,0.7302,0.1262,1.1222
0.0500,2.0100,0.1356,0.7302,0.1268,1.1279
0.0500,2.0200,0.1356,0.7302,0.1275,1.1335
0.0500,2.0300,0.1356,0.7302,0.1281,1.1391
0.0500,2.0400,0.1356,0.7302,0.1287,1.1447
0.0500,2.0500,0.1356,0.7302,0.1294,1.1503
0.0500,2.0600,0.1356,0.7302,0.1300,1.1559
0.0500,2.0700,0.1356,0.7302,0.1306,1.1615
0.0500,2.0800,0.1356,0.7302,0.1312,1.1671
0.0500,2.0900,0.1356,0.7302,0.1319,1.1727
0.0500,2.1000,0.1356,0.7302,0.1325,1.1784
0.0500,2.1100,0.1356,0.7302,0.1331,1.1840
0.0500,2.1200,0.1356,0.7302,0.1338,1.1896
0.0500,2.1300,0.1356,0.7302,0.1344,1.1952
0.0500,2.1400,0.1356,0.7302,0.1350,1.2008
0.0500,2.1500,0.1356,0.7302,0.1357,1.2064
0.0500,2.1600,0.1356,0.7302,0.1363,1.2120
0.0500,2.1700,0.1356,0.7302,0.1369,1.2176
0.0500,2.1800,0.1356,0.7302,0.1376,1.2232
0.0500,2.1900,0.1356,0.7302,0.1382,1.2289
0.0500,2.2000,0.1356,0.7302,0.1388,1.2345
0.0500,2.2100,0.1356,0.7302,0.1395,1.2401
0.0500,2.2200,0.1356,0.7302,0.1401,1.2457
0.0500,2.2300,0.1356,0.7302,0.1407,1.2513
0.0500,2.2400,0.1356,0.7302,0.1413,1.2569
0.0500,2.2500,0.1356,0.7302,0.1420,1.2625
0.0500,2.2600,0.1356,0.7302,0.1426,1.2681
0.0500,2.2700,0.1356,0.7302,0.1432,1.2737
0.0500,2.2800,0.1356,0.7302,0.1439,1.2794
0.0500,2.2900,0.1356,0.7302,0.1445,1.2850
0.0500,2.3000,0.1356,0.7302,0.1451,1.2906
0.0500,2.3100,0.1356,0.7302,0.1458,1.2962
0.0500,2.3200,0.1356,0.7302,0.1464,1.3018
0.0500,2.3300,0.1356,0.7302,0.1470,1.3074
0.0500,2.3400,0.1356,0.7302,0.1477,1.3130
0.0500,2.3500,0.1356,0.7302,0.1483,1.3186
0.0500,2.3600,0.1356,0.7302,0.1489,1.3242
0.0500,2.3700,0.1356,0.7302,0.1495,1.3299
0.0500,2.3800,0.1356,0.7302,0.1502,1.3355
0.0500,2.3900,0.1356,0.7302,0.1508,1.3411
0.0500,2.4000,0.1356,0.7302,0.1514,1.3467
0.0500,2.4100,0.1356,0.7302,0.1521,1.3523
0.0500,2.4200,0.1356,0.7302,0.1527,1.3579
0.0500,2.4300,0.1356,0.7302,0.1533,1.3635
0.0500,2.4400,0.1356,0.7302,0.1540,1.3691
0.0500,2.4500,0.1356,0.7302,0.1546,1.3747
0.0500,2.4600,0.1356,0.7302,0.1552,1.3804
0.0500,2.4700,0.1356,0.7302,0.1559,1.3860
0.0500,2.4800,0.1356,0.7302,0.1565,1.3916
0.0500,2.4900,0.1356,0.7302,0.1571,1.3972
0.0500,2.5000,0.1356,0.7302,0.1578,1.4028
0.0500,2.5100,0.1356,0.7302,0.1584,1.4084
0.0500,2.5200,0.1356,0.7302,0.1590,1.4140
0.0500,2.5300,0.1356,0.7302,0.1596,1.4196
0.0500,2.5400,0.1356,0.7302,0.1603,1.4253
0.0500,2.5500,0.1356,0.7302,0.1609,1.4309
0.0500,2.5600,0.1356,0.7302,0.1615,1.4365
0.0500,2.5700,0.1356,0.7302,0.1622,1.4421
0.0500,2.5800,0.1356,0.7302,0.1628,1.4477
